"JobTitle","Sex","Race","JobType","StartYear"
"Police Corporal","M","White","Permanent-Full Time",1990
"Public Health Nurse","F","Asian","Permanent-Full Time",2000
"Technology Manager","M","White","Permanent-Full Time",2007
"Police Captain","M","Black or African American","Permanent-Full Time",1995
"Building Engineer I","M","Black or African American","Permanent-Full Time",2006
"Clinical Services Bureau Chief","M","White","Permanent-Full Time",2003
"Police Corporal","M","White","Permanent-Full Time",1999
"Custodial Worker II","M","Black or African American","Permanent-Full Time",2000
"Planner, Principal","M","Black or African American","Permanent-Full Time",2002
"WSS Technician IV","M","Hispanic or Latino","Permanent-Full Time",1994
"Clerk Of Circuit Court","M","White","Permanent-Full Time",1995
"Trades Manager/Leader I","M","Hispanic or Latino","Permanent-Full Time",2000
"Human Resources/OD Specialist","F","White","Permanent-Full Time",2005
"Plant Operations Manager","M","White","Permanent-Full Time",2003
"DHS Clinical Psychologist Senior","F","White","Permanent-Full Time",2003
"I/O Psychologist","M","White","Permanent-Part Time",1995
"Police Corporal","F","Hispanic or Latino","Permanent-Full Time",1991
"Human Services Clinician II","F","Hispanic or Latino","Permanent-Full Time",1998
"Public Health Nurse Supervisor","F","Black or African American","Permanent-Full Time",1996
"Deputy Sheriff Sergeant","F","Black or African American","Permanent-Full Time",2005
"Management Analyst","F","White","Permanent-Full Time",1999
"Eligibility Supervisor","F","White","Permanent-Full Time",1980
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",1992
"Probation Counselor II","M","Hispanic or Latino","Permanent-Full Time",2003
"Firefighter/EMT III","F","White","Permanent-Full Time",2002
"Employment Services Specialist","F","Hispanic or Latino","Permanent-Full Time",1997
"Planner, Principal","M","White","Permanent-Full Time",1987
"Human Resources/OD Specialist","F","White","Permanent-Part Time",2003
"Police Corporal","M","White","Permanent-Full Time",2000
"Police Corporal","M","White","Permanent-Full Time",1999
"Trades Manager/Leader II","M","White","Permanent-Full Time",1991
"Emergency Communications Technician III","F","Black or African American","Permanent-Full Time",2010
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2001
"Construction Codes Manager","M","Black or African American","Permanent-Full Time",2002
"Mental Health Therapist II","F","Black or African American","Permanent-Full Time",1997
"Police Corporal","M","White","Permanent-Full Time",1997
"Firefighter/EMT II","M","White","Permanent-Full Time",2004
"Librarian","F","Hispanic or Latino","Permanent-Full Time",2001
"Police Captain","M","White","Permanent-Full Time",1991
"Firefighter/EMT III","F","White","Permanent-Full Time",2005
"Inmate Services Counselor II","F","White","Permanent-Full Time",2004
"Police Corporal","M","White","Permanent-Full Time",2001
"Asst To Department Director/Admin","F","White","Permanent-Full Time",2003
"Deputy Police Chief","M","White","Permanent-Full Time",1984
"Police Corporal","M","White","Permanent-Full Time",1995
"Communications Specialist II","M","Hispanic or Latino","Permanent-Full Time",1992
"Firefighter/EMT III","M","White","Permanent-Full Time",2004
"Police Corporal","M","White","Permanent-Full Time",2006
"Human Resources/OD Specialist","F","White","Permanent-Full Time",2001
"Management Specialist","F","White","Permanent-Full Time",1995
"Public Health Nurse","F","White","Permanent-Full Time",2005
"Park Manager","M","White","Permanent-Full Time",2001
"Fire/EMS Captain I","M","White","Permanent-Full Time",1996
"Deputy Sheriff Sergeant","M","White","Permanent-Full Time",2004
"Police Corporal","F","Hispanic or Latino","Permanent-Full Time",1996
"Mental Health Therapist II","M","Black or African American","Permanent-Full Time",1997
"Police Corporal","M","White","Permanent-Full Time",1985
"Police Corporal","F","White","Permanent-Full Time",1999
"Librarian","F","White","Permanent-Full Time",1985
"Deputy Sheriff Lieutenant","M","Hispanic or Latino","Permanent-Full Time",2005
"Police Corporal","M","White","Permanent-Full Time",2005
"Survey Party Chief I","M","Black or African American","Permanent-Full Time",1999
"Deputy Sheriff Sergeant","F","Hispanic or Latino","Permanent-Full Time",1999
"Police Corporal","F","White","Permanent-Full Time",2009
"Landscape Architect Supervisor","F","Hispanic or Latino","Permanent-Full Time",2002
"Police Sergeant","M","White","Permanent-Full Time",2011
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",2006
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2004
"Public Health Nurse Supervisor","F","White","Permanent-Full Time",1996
"Management & Budget Specialist","F","White","Permanent-Full Time",1990
"Firefighter/EMT II","M","Hispanic or Latino","Permanent-Full Time",2005
"Fire/EMS Captain II","M","White","Permanent-Full Time",1998
"Firefighter/EMT II","M","White","Permanent-Full Time",2002
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2006
"Chemical Laboratory Supervisor","F","Black or African American","Permanent-Full Time",1994
"Police Officer","M","White","Permanent-Full Time",2002
"Management & Budget Specialist","M","White","Permanent-Full Time",2004
"DPR Programmer I","F","White","Limited Term Part Time",1997
"Police Corporal","M","White","Permanent-Full Time",2001
"Mental Health Supervisor","F","White","Permanent-Full Time",1993
"Rehab Therapist","F","White","Permanent-Full Time",1992
"Staff Human Resources Manager","F","White","Permanent-Full Time",2006
"Commonwealth Atty III","F","White","Permanent-Full Time",2003
"Police Corporal","M","White","Permanent-Full Time",2000
"Fire/EMS Captain I","M","White","Permanent-Full Time",2004
"Behavioral Specialist Senior","M","White","Permanent-Full Time",1987
"Police Captain","M","Black or African American","Permanent-Full Time",1984
"Facilities Maintenance Section Manager","M","Hispanic or Latino","Permanent-Full Time",1994
"Media Relations/Communications Manager","M","White","Permanent-Full Time",2005
"Environmental Management Specialist, Principal","M","White","Permanent-Full Time",2005
"Librarian","F","White","Permanent-Part Time",2000
"Police Lieutenant","M","White","Permanent-Full Time",2001
"Management & Finance Deputy Director","F","White","Permanent-Full Time",2004
"Police Officer","M","White","Permanent-Full Time",1990
"Police Corporal","M","White","Permanent-Full Time",2003
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2000
"Police Sergeant","M","White","Permanent-Full Time",1991
"Public Health Nurse Supervisor","F","White","Permanent-Full Time",1989
"Fire/EMS Battalion Chief","M","White","Permanent-Full Time",1990
"Police Officer","M","White","Permanent-Full Time",1986
"Firefighter/EMT II","M","White","Permanent-Full Time",2004
"Fire/EMS Battalion Chief","M","White","Permanent-Full Time",1991
"ASAP Administrator","F","Black or African American","Permanent-Full Time",1998
"Fire/EMS Captain I","M","White","Permanent-Full Time",2005
"Firefighter/EMT III","M","White","Permanent-Full Time",2000
"DHS Administrative Program Manager","F","White","Permanent-Full Time",2005
"Police Lieutenant","M","White","Permanent-Full Time",1992
"Sr Staff Admin/Management Specialist","F","White","Permanent-Part Time",2006
"Sr IT Analyst","F","Asian","Permanent-Full Time",2001
"Police Sergeant","M","White","Permanent-Full Time",2006
"DES Deputy Director","M","White","Permanent-Full Time",2004
"Police Captain","M","White","Permanent-Full Time",1991
"Police Corporal","M","White","Permanent-Full Time",1996
"Police Corporal","M","White","Permanent-Full Time",2009
"Communications Specialist II","F","Black or African American","Permanent-Full Time",2001
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",1989
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",2000
"Police Sergeant","M","White","Permanent-Full Time",2004
"Recreation Supervisor (Play School)","F","Asian","Permanent-Part Time",2003
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2005
"Firefighter/EMT III","M","Hispanic or Latino","Permanent-Full Time",1995
"Police Lieutenant","M","Black or African American","Permanent-Full Time",1986
"Commonwealth Attorney Deputy","M","White","Permanent-Full Time",1997
"Police Corporal","M","White","Permanent-Full Time",2002
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",1998
"Deputy Sheriff Sergeant","M","Black or African American","Permanent-Full Time",2005
"Trades Manager/Leader I","M","White","Permanent-Full Time",2002
"Planner, Principal","F","White","Permanent-Full Time",2003
"Management & Budget Specialist","M","White","Permanent-Full Time",2003
"Sr IT Analyst","F","White","Permanent-Part Time",1988
"Administrative Specialist","F","White","Permanent-Full Time",2003
"Cable Executive Producer","M","White","Permanent-Full Time",1988
"Police Lieutenant","M","White","Permanent-Full Time",1994
"Planning Supervisor","M","White","Permanent-Full Time",1990
"Senior Management Analyst","F","Black or African American","Permanent-Full Time",2004
"Commonwealth Attorney Deputy","F","White","Permanent-Full Time",1990
"Police Sergeant","M","White","Permanent-Full Time",2001
"Fire/EMS Lieutenant","M","Black or African American","Permanent-Full Time",2000
"Fire/EMS Captain I","M","White","Permanent-Full Time",1987
"Firefighter/EMT III","M","White","Permanent-Full Time",2004
"Police Corporal","M","White","Permanent-Full Time",2001
"WSS Equipment Mechanic II","M","White","Permanent-Full Time",1993
"Deputy Police Chief","M","White","Permanent-Full Time",1977
"Facilities Maintenance Mechanic II","M","White","Permanent-Full Time",2003
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",2003
"Firefighter/EMT III","M","White","Permanent-Full Time",2002
"ECC Deputy Administrator","M","White","Permanent-Full Time",1991
"Firefighter/EMT II","M","White","Permanent-Full Time",2000
"Firefighter/EMT III","M","White","Permanent-Full Time",2001
"Police Officer","M","White","Permanent-Full Time",2003
"Parks Planning Division Chief","F","White","Permanent-Full Time",1990
"Police Corporal","M","White","Permanent-Full Time",1991
"Emergency Management Specialist I","F","White","Permanent-Full Time",2004
"DPR Program Assistant","F","Black or African American","Permanent-Full Time",2001
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",2003
"School Crossing Guard I","F","White","Permanent-Part Time",2005
"Library Associate","M","White","Permanent-Full Time",1993
"Police Corporal","M","White","Permanent-Full Time",1993
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",1989
"Firefighter/EMT II","M","White","Permanent-Full Time",2005
"Police Corporal","M","White","Permanent-Full Time",1991
"DHS Administrative Program Manager","F","White","Permanent-Full Time",2002
"Firefighter/EMT II","M","White","Permanent-Full Time",1998
"Police Captain","M","White","Permanent-Full Time",1989
"Staff Support Technician","M","Black or African American","Permanent-Full Time",2004
"Police Officer","M","White","Permanent-Full Time",2003
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",2003
"Archivist","F","White","Permanent-Full Time",2004
"Police Corporal","M","White","Permanent-Full Time",2004
"Comm Revenue Assistant Deputy","F","Hispanic or Latino","Permanent-Full Time",1998
"Police Officer","M","White","Permanent-Full Time",2004
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",2000
"Firefighter/EMT II","M","White","Permanent-Full Time",2003
"Administrative Technician II","F","Black or African American","Permanent-Full Time",1996
"Services Assistant IV","M","Hispanic or Latino","Permanent-Full Time",2005
"Parking Meter Repair Technician","M","Black or African American","Permanent-Full Time",1987
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2002
"Deputy Sheriff Lieutenant","M","White","Permanent-Full Time",1998
"Survey Party Chief I","M","Asian","Permanent-Full Time",1993
"Police Corporal","M","Black or African American","Permanent-Full Time",2002
"Deputy Sheriff Corporal","M","Asian","Permanent-Full Time",2003
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2003
"DPR Programmer I","M","Black or African American","Permanent-Full Time",1998
"Human Services Specialist","F","Black or African American","Permanent-Full Time",2001
"Records Assistant IV","F","Hispanic or Latino","Permanent-Full Time",1991
"Public Service Aide II","M","Black or African American","Permanent-Full Time",2001
"DPR Program Specialist","F","White","Permanent-Full Time",1981
"Librarian","F","Black or African American","Permanent-Full Time",2016
"Librarian","F","White","Permanent-Full Time",2001
"Police Corporal","M","White","Permanent-Full Time",1994
"Fire/EMS Captain I","M","White","Permanent-Full Time",1999
"Historic Preservation Section Supervisor","F","White","Permanent-Full Time",2001
"Firefighter/EMT II","M","White","Permanent-Full Time",1999
"Firefighter/EMT II","M","White","Permanent-Full Time",2002
"Planning Supervisor","M","White","Permanent-Full Time",1999
"Fire/EMS Captain I","F","White","Permanent-Full Time",2005
"Eligibility Worker","F","Black or African American","Permanent-Full Time",1994
"Firefighter/EMT II","M","White","Permanent-Full Time",2004
"Police Corporal","M","White","Permanent-Full Time",1988
"Fire/EMS Captain I","M","White","Permanent-Full Time",2003
"Fire/EMS Captain II","M","White","Permanent-Full Time",1996
"Fire/EMS Captain I","M","White","Permanent-Full Time",2000
"Police Corporal","M","White","Permanent-Full Time",2000
"Fire/EMS Captain I","M","White","Permanent-Full Time",2000
"AED Specialist IV","F","White","Permanent-Full Time",2001
"Firefighter/EMT II","M","White","Permanent-Full Time",1998
"Fire/EMS Captain II","M","White","Permanent-Full Time",1999
"ECC Deputy Administrator","M","White","Permanent-Full Time",2001
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2001
"Management Analyst","F","White","Permanent-Full Time",2001
"Business Systems Analyst I","M","White","Permanent-Full Time",2005
"Police Lieutenant","M","White","Permanent-Full Time",2005
"Police Lieutenant","M","White","Permanent-Full Time",1990
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2010
"Firefighter/EMT II","M","White","Permanent-Full Time",2000
"Deputy Sheriff Corporal","F","Black or African American","Permanent-Full Time",2001
"Staff Human Resources Manager","F","White","Permanent-Full Time",2001
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1999
"Administrative Technician I","F","Black or African American","Permanent-Full Time",1993
"Deputy Sheriff Captain","F","White","Permanent-Full Time",2000
"Network Control Specialist","F","Asian","Permanent-Full Time",1989
"Deputy Fire Chief","M","White","Permanent-Full Time",1999
"Fire/EMS Captain II","M","White","Permanent-Full Time",1996
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",1988
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2001
"Administrative Assistant VI","F","Hispanic or Latino","Permanent-Full Time",2005
"Fire/EMS Captain II","F","Black or African American","Permanent-Full Time",1994
"WSS Technician II","M","Black or African American","Permanent-Full Time",2008
"Business Systems Analyst III","F","Black or African American","Permanent-Full Time",1997
"Fire/EMS Lieutenant","F","White","Permanent-Full Time",2000
"Mental Health Therapist II","F","Black or African American","Permanent-Full Time",2000
"Employment Services Specialist","F","Black or African American","Permanent-Full Time",1988
"Deputy County Manager","M","White","Limited Term Full Time",2016
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",1996
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",1996
"Design Engineer","M","Hispanic or Latino","Permanent-Full Time",1998
"Fire/EMS Captain I","M","Black or African American","Permanent-Full Time",1994
"Court Assistant","M","Asian","Limited Term Full Time",2005
"Firefighter/EMT II","M","White","Permanent-Full Time",2006
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2001
"Real Estate Appraiser","M","Asian","Permanent-Full Time",2005
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2000
"Deputy Sheriff Lieutenant","F","White","Permanent-Full Time",2005
"Fire/EMS Captain I","M","White","Permanent-Full Time",1996
"Library Assistant II","F","Asian","Permanent-Full Time",1986
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",1999
"Mental Health Supervisor","F","Hispanic or Latino","Permanent-Full Time",1993
"Housing Specialist II","M","Hispanic or Latino","Permanent-Full Time",1998
"Facilities Management Bureau Chief","M","White","Permanent-Full Time",2001
"Police Corporal","M","White","Permanent-Full Time",1998
"Carpenter I","M","White","Permanent-Full Time",1993
"Police Sergeant","M","White","Permanent-Full Time",2002
"Public Health Nurse","F","White","Permanent-Full Time",1994
"Police Corporal","M","White","Permanent-Full Time",2004
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",1999
"Eligibility Worker","F","White","Permanent-Full Time",2005
"Construction Management Specialist","M","White","Permanent-Full Time",1992
"Design Engineer","M","Asian","Permanent-Full Time",2004
"AED Specialist IV","F","Black or African American","Permanent-Full Time",2001
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2005
"Engineering Support Associate III","M","Hispanic or Latino","Permanent-Full Time",1998
"Stationary Watch Engineer","M","Asian","Permanent-Full Time",2005
"Accounting Technician I","F","Black or African American","Permanent-Full Time",2005
"Management & Budget Specialist","M","White","Permanent-Full Time",2005
"Police Corporal","M","White","Permanent-Full Time",1992
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",1992
"Firefighter/EMT II","M","White","Permanent-Full Time",1985
"Project Management Coordinator","F","White","Permanent-Full Time",2000
"Community Recreation Division Chief","F","Black or African American","Permanent-Full Time",2005
"Firefighter/EMT III","M","White","Permanent-Full Time",2006
"Police Corporal","M","Black or African American","Permanent-Full Time",1997
"Technology Manager","F","Black or African American","Permanent-Full Time",2001
"Fire/EMS Captain I","M","White","Permanent-Full Time",1995
"WIC Program Supervisor","F","White","Permanent-Full Time",2004
"Fire/EMS Captain I","M","White","Permanent-Full Time",1998
"Police Officer","M","White","Permanent-Full Time",2000
"Tax Auditor III","M","White","Permanent-Full Time",1999
"Fire/EMS Battalion Chief","M","White","Permanent-Full Time",1992
"Sr IT Analyst","M","Black or African American","Permanent-Full Time",2001
"Fire/EMS Captain II","M","White","Permanent-Full Time",1992
"Lead Gymnastics Instructor","F","White","Permanent-Full Time",1998
"Administrative Services Division Chief I D","F","White","Permanent-Full Time",2004
"Firefighter/EMT II","M","White","Permanent-Full Time",1989
"Clinic Aide I","F","White","Permanent-Full Time",2005
"Trades Manager/Leader II","M","White","Permanent-Full Time",2003
"Firefighter/EMT II","M","White","Permanent-Full Time",2001
"Police Corporal","F","White","Permanent-Full Time",2005
"Staff Infrastructure Support Specialist","M","Asian","Permanent-Full Time",2006
"Warehouse Supervisor","M","Black or African American","Permanent-Full Time",2001
"Fire/EMS Lieutenant","M","Black or African American","Permanent-Full Time",2004
"Deputy Sheriff Corporal","F","Black or African American","Permanent-Full Time",2005
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2006
"Mental Health Therapist II","M","Hispanic or Latino","Permanent-Full Time",1997
"Planner, Principal","M","White","Permanent-Full Time",1997
"Management Analyst","M","White","Permanent-Full Time",2002
"Human Services Specialist","F","Black or African American","Permanent-Full Time",1986
"Construction Codes Inspector III","M","White","Permanent-Full Time",1985
"Trades Manager/Leader II","M","Black or African American","Permanent-Full Time",1990
"Eligibility Worker","M","Black or African American","Permanent-Full Time",2000
"Staff Admin/Management Specialist","F","Hispanic or Latino","Permanent-Full Time",1999
"Environmental Health Specialist I","F","White","Permanent-Full Time",2000
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2002
"Cultural Affairs Specialist IV","F","White","Permanent-Full Time",1994
"Fire Protection Engineer II","M","White","Permanent-Full Time",1986
"Electrical Power Technician (Licensed)","M","Black or African American","Permanent-Full Time",1992
"Deputy Sheriff Sergeant","M","White","Permanent-Full Time",1991
"Human Services Aide V","F","Asian","Permanent-Full Time",1993
"Facilities Project Specialist","M","Asian","Limited Term Full Time",1996
"Environmental Management Specialist, Principal","F","White","Permanent-Full Time",2000
"Public Health Nurse","F","White","Permanent-Full Time",2005
"Police Sergeant","M","White","Permanent-Full Time",2002
"Process Control Systems Technician","M","Black or African American","Permanent-Full Time",2003
"Human Services Specialist","M","White","Permanent-Full Time",2000
"Business Tax Insp II","M","White","Permanent-Full Time",2000
"Sheriff","F","White","Permanent-Full Time",1986
"Police Sergeant","M","White","Permanent-Full Time",1997
"Treasurer Technology Deputy","M","White","Permanent-Full Time",2000
"Trades Worker III","M","White","Permanent-Full Time",1995
"DPR Programmer I","F","Black or African American","Permanent-Full Time",1995
"Business Systems Analyst I","M","White","Permanent-Full Time",1996
"Staff Accounting/Auditing Specialist","M","Black or African American","Permanent-Full Time",2005
"Systems Administrator","F","Black or African American","Permanent-Full Time",1995
"Network Analyst","M","White","Permanent-Full Time",1990
"Librarian","F","White","Permanent-Part Time",1989
"Communications Specialist II","F","White","Permanent-Full Time",2004
"Adult Day Recreation Leader","F","White","Permanent-Full Time",1987
"DPR Program Supervisor","F","White","Permanent-Full Time",1991
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",1999
"Tree Maintenance Worker","M","Black or African American","Permanent-Full Time",2002
"WSS Technician IV","M","Hispanic or Latino","Permanent-Full Time",1997
"Office Aide II","F","Hispanic or Latino","Permanent-Part Time",2001
"Construction Management Specialist","M","Hispanic or Latino","Permanent-Full Time",1996
"Business Tax Insp II","F","Hispanic or Latino","Permanent-Full Time",2004
"Sr WSS Technician","M","Black or African American","Permanent-Full Time",2003
"Staff Support Technician","F","White","Permanent-Full Time",2005
"School Crossing Guard II","F","Hispanic or Latino","Permanent-Full Time",2003
"DPR Program Assistant","F","Hispanic or Latino","Permanent-Part Time",1993
"Human Services Specialist","F","Hispanic or Latino","Permanent-Full Time",1995
"Court Assistant","F","Hispanic or Latino","Permanent-Full Time",2008
"Librarian Supervisor","F","White","Permanent-Full Time",1992
"Investigator HR/EEO","F","Asian","Permanent-Full Time",1994
"Planner, Associate","F","Black or African American","Permanent-Full Time",1985
"Human Services Specialist","F","Black or African American","Permanent-Full Time",2004
"Recreation Supervisor (Play School)","F","Black or African American","Permanent-Part Time",1989
"Fire/EMS Battalion Chief","M","White","Permanent-Full Time",1989
"Services Assistant IV","F","Black or African American","Permanent-Full Time",2001
"Staff IT Technician","F","Black or African American","Permanent-Full Time",2001
"Management Analyst","M","Asian","Permanent-Full Time",2004
"Trades Worker III","M","White","Permanent-Full Time",2002
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",1995
"Auto Mechanic II","M","Hispanic or Latino","Permanent-Full Time",1999
"Budget and Finance Specialist","F","Hispanic or Latino","Permanent-Full Time",1990
"DPR Programmer I","M","Black or African American","Permanent-Full Time",2008
"Police Corporal","F","White","Permanent-Full Time",1987
"Public Safety Technology Specialist","M","Asian","Permanent-Full Time",1986
"Firefighter/EMT II","M","Hispanic or Latino","Permanent-Full Time",1988
"Librarian Supervisor","F","White","Permanent-Full Time",2011
"Inmate Services Counselor II","F","Black or African American","Permanent-Full Time",1999
"Police Corporal","M","White","Permanent-Full Time",1999
"Police Sergeant","F","Black or African American","Permanent-Full Time",1997
"Police Sergeant","M","White","Permanent-Full Time",2001
"Staff Support Technician","F","Black or African American","Permanent-Full Time",2001
"Treasurer Chief Deputy","F","White","Permanent-Full Time",2001
"Police Captain","M","White","Permanent-Full Time",1994
"Management Analyst","M","Hispanic or Latino","Permanent-Full Time",1999
"Juvenile Program Coordinator","F","White","Permanent-Full Time",1999
"Fire/EMS Captain II","M","White","Permanent-Full Time",1992
"Police Corporal","M","White","Permanent-Full Time",1987
"Construction Management Specialist","M","White","Permanent-Full Time",1990
"Recreation Supervisor (Play School)","F","Hispanic or Latino","Permanent-Part Time",2000
"Management & Budget Specialist","M","Black or African American","Permanent-Full Time",2001
"Transportation Bureau Chief","M","Hispanic or Latino","Permanent-Full Time",1973
"Sr IT Analyst","M","White","Permanent-Full Time",1986
"Design Engineer","M","Black or African American","Permanent-Full Time",2003
"Deputy Sheriff Sergeant","M","White","Permanent-Full Time",1992
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",2000
"Commonwealth Attorney Chief Deputy","M","White","Permanent-Full Time",1992
"Library Assistant Coordinator","M","White","Permanent-Full Time",1980
"Fire/EMS Captain II","M","White","Permanent-Full Time",1992
"Fire/EMS Captain II","M","Black or African American","Permanent-Full Time",1992
"Sr IT Analyst","F","Black or African American","Permanent-Full Time",1998
"Police Corporal","M","Hispanic or Latino","Permanent-Full Time",1990
